date;rates
04-01-03;4.15
04-02-03;4.08
04-03-03;3.83
04-04-03;4.35
04-05-03;4.72
04-06-03;4.73
04-07-03;4.5
04-08-03;4.28
04-09-03;4.13
04-10-03;4.1
04-11-03;4.19
04-12-03;4.23
05-01-03;4.22
05-02-03;4.17
05-03-03;4.5
05-04-03;4.34
05-05-03;4.14
05-06-03;4
05-07-03;4.18
05-08-03;4.26
05-09-03;4.2
05-10-03;4.46
05-11-03;4.54
05-12-03;4.47
06-01-03;4.42
06-02-03;4.57
06-03-03;4.72
06-04-03;4.99
06-05-03;5.11
06-06-03;5.11
06-07-03;5.09
06-08-03;4.88
06-09-03;4.72
06-10-03;4.73
06-11-03;4.6
06-12-03;4.56
07-01-03;4.76
07-02-03;4.72
07-03-03;4.56
07-04-03;4.69
07-05-03;4.75
07-06-03;5.1
07-07-03;5
07-08-03;4.67
07-09-03;4.52
07-10-03;4.53
07-11-03;4.15
07-12-03;4.1
08-01-03;3.74
08-02-03;3.74
08-03-03;3.51
08-04-03;3.68
08-05-03;3.88
08-06-03;4.1
08-07-03;4.01
08-08-03;3.89
08-09-03;3.69
08-10-03;3.81
08-11-03;3.53
08-12-03;2.42
